;ITRX EUR CDSI GEN 5Y Corp;ITRX XOVER CDSI GEN 5Y Corp;DU1 Comdty;OE1 Comdty;RX1 Comdty;RECMTREU Index
07/08/2025;54.29614;270.5044;107.11;117.55;130.23;169.2434
08/08/2025;53.33537;266.5728;107.05;117.31;129.73;168.9818
11/08/2025;53.35921;265.9348;107.025;117.26;129.62;168.9747
12/08/2025;52.58424;263.49;107.015;117.11;129.11;168.7743
13/08/2025;51.79301;261.1865;107.095;117.46;129.83;169.2898
14/08/2025;51.79805;260.5334;107.07;117.31;129.51;169.158
15/08/2025;51.59467;259.5083;107.025;117.05;128.8;168.822
18/08/2025;51.52568;259.9636;107.02;117.08;128.83;168.8734
19/08/2025;51.50418;260.9282;107.04;117.19;129.07;169.0276
20/08/2025;52.37341;265.0352;107.095;117.36;129.46;169.1943
21/08/2025;53.08302;267.8635;107.005;117.14;129.05;168.7863
22/08/2025;51.43062;260.3555;107.055;117.34;129.44;169.0134
25/08/2025;#N/D;#N/D;107;117.11;128.99;168.7465
26/08/2025;53.02727;267.541;107.06;117.39;129.43;168.9903
27/08/2025;54.90483;274.0605;107.115;117.59;129.78;169.1903
28/08/2025;54.36087;262.2349;107.065;117.5;129.69;169.0695
29/08/2025;55.50031;267.947;107.06;117.46;129.55;168.9852
01/09/2025;55.52559;268.0481;107.02;117.3;129.18;168.7544
02/09/2025;56.94899;274.3674;106.98;117.13;128.81;168.4155
03/09/2025;55.28111;267.2964;107.02;117.31;129.22;168.6943
04/09/2025;53.95392;262.7671;107.005;117.36;129.46;168.926
05/09/2025;53.90483;262.9836;107.08;117.67;130.1;169.3871
08/09/2025;53.21104;260.6267;107.055;117.65;130.06;169.5807
09/09/2025;52.99994;260.8186;107.135;118.23;129.03;169.4936
10/09/2025;52.49109;258.9197;107.12;118.24;129.14;169.5771
11/09/2025;50.98663;252.1995;107.03;118.06;129.1;169.5179
12/09/2025;50.90559;251.792;106.98;117.82;128.56;169.3304
15/09/2025;50.04143;248.0888;106.99;117.9;128.73;169.5429
16/09/2025;50.85559;252.0401;107.01;117.91;128.71;169.5347
17/09/2025;50.74388;250.895;107.01;117.94;128.91;169.5628
18/09/2025;50.06998;247.657;107.005;117.84;128.51;169.4945
19/09/2025;50.31599;248.4161;106.97;117.69;128.18;169.378
22/09/2025;56.05814;268.2524;106.99;117.76;128.26;169.4803
23/09/2025;55.5536;264.3389;106.97;117.67;128.18;169.4319
24/09/2025;56.04453;264.625;106.975;117.69;128.19;169.4525
25/09/2025;56.823;268.1836;106.94;117.53;128;169.2455
26/09/2025;56.39975;265.4822;106.96;117.65;128.26;169.3753
29/09/2025;55.99791;262.7219;106.98;117.79;128.6;169.604
30/09/2025;55.98538;262.2661;106.98;117.81;128.57;169.6283
01/10/2025;55.33318;260.6296;106.995;117.86;128.59;169.6995
